M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22;M23;M24;M25
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0.25;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.023255814;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0.025641026;0.023809524;0.023255814;0.022727273;0.022727273;0.166666667;0.166666667;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.033333333;0.03125;0.03030303;0.027777778;0.027777778;0.024390244;0.024390244;0.023809524;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0.029411765;0.027027027;0.025641026;0.023255814;0.023255814;0.022727273;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.023809524;0.022727273;0.022727273;0;0;0;0;0;0;0
0.5;0.333333333;0.2;0.142857143;0.1;0.090909091;0.076923077;0.071428571;0.066666667;0.058823529;0.058823529;0.052631579;0.05;0.045454545;0.045454545;0.043478261;0.038461538;0.037037037;0;0;0;0.5;0.333333333;0.25;0.2
0;0;0;0;0;0;0;0;0.04;0.037037037;0.037037037;0.034482759;0.032258065;0.027777778;0.027027027;0.026315789;0.025;0.024390244;0;0;0;0;0;0;0
0.2;0.2;0.166666667;0.125;0.1;0.1;0.1;0.1;0.1;0.083333333;0.071428571;0.066666667;0.0625;0.0625;0.0625;0.055555556;0.05;0.047619048;0;0;0;0;0.333333333;0.25;0.2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0.071428571;0.055555556;0.055555556;0.05;0.045454545;0.04;0.038461538;0.035714286;0.034482759;0.033333333;0.03125;0.029411765;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.0625;0.052631579;0.05;0.041666667;0.038461538;0.034482759;0.034482759;0.03125;0.028571429;0.027777778;0.026315789;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.03125;0.029411765;0.028571429;0.027027027;0.025641026;0.025;0.023809524;0;0;0;0;0;0;0
0.25;0.25;0.25;0.2;0.166666667;0.166666667;0.125;0.125;0.111111111;0.111111111;0.1;0.1;0.083333333;0.076923077;0.076923077;0.071428571;0.0625;0.0625;0;0;0;0.5;0.333333333;0.25;0.2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.052631579;0.045454545;0.04;0.037037037;0.037037037;0.032258065;0.03125;0.027777778;0.027027027;0.025641026;0.024390244;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0.03125;0.029411765;0.029411765;0.027777778;0.027027027;0.026315789;0;0;0;0;0;0;0
0.166666667;0.125;0.125;0.111111111;0.111111111;0.083333333;0.071428571;0.0625;0.0625;0.0625;0.058823529;0.052631579;0.05;0.047619048;0.043478261;0.041666667;0.041666667;0.037037037;0;0;0;0;0;0.25;0.2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.5;0.5;0.333333333;0.25;0.2;0.166666667;0.142857143;0.142857143;0.125;0.111111111;0.111111111;0.1;0.083333333;0.076923077;0.076923077;0.071428571;0.071428571;0.066666667;0;0;0;0.5;0.333333333;0.25;0.2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.023255814;0.023255814;0;0;0;0;0;0;0
0.2;0.142857143;0.111111111;0.090909091;0.090909091;0.083333333;0.0625;0.055555556;0.052631579;0.05;0.047619048;0.045454545;0.043478261;0.04;0.037037037;0.034482759;0.034482759;0.033333333;0;0;0;0;0;0.25;0.2
0;0.071428571;0.066666667;0.066666667;0.052631579;0.041666667;0.041666667;0.04;0.035714286;0.034482759;0.03030303;0.028571429;0.027027027;0.026315789;0.026315789;0.025641026;0.025;0.024390244;0.5;0.5;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.043478261;0.04;0.038461538;0;0;0;0;0;0;0
0.111111111;0.083333333;0.076923077;0.066666667;0.05;0.045454545;0.038461538;0.037037037;0.034482759;0.033333333;0.032258065;0.029411765;0.028571429;0.027027027;0.024390244;0.024390244;0.023255814;0.022727273;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.041666667;0.041666667;0.038461538;0.035714286;0.034482759;0.034482759;0.032258065;0.032258065;0.029411765;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.043478261;0.041666667;0.04;0.038461538;0.035714286;0.033333333;0.033333333;0.033333333;0.03125;0;0;0;0;0;0;0
0;0;0;0;0;0;0.043478261;0.043478261;0.04;0.038461538;0.034482759;0.034482759;0.033333333;0.033333333;0.032258065;0.03125;0.03030303;0.028571429;0;0;0;0;0;0;0
0;0;0;0;0;0;0.052631579;0.052631579;0.047619048;0.04;0.034482759;0.032258065;0.032258065;0.029411765;0.029411765;0.028571429;0.027777778;0.027027027;0.166666667;0.166666667;0;0;0;0;0
0;0;0.066666667;0.055555556;0.05;0.05;0.041666667;0.037037037;0.033333333;0.032258065;0.03125;0.029411765;0.028571429;0.028571429;0.027027027;0.026315789;0.026315789;0.026315789;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.045454545;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.111111111;0.058823529;0.055555556;0.05;0.043478261;0.038461538;0.035714286;0.03125;0.028571429;0.028571429;0.027777778;0.027027027;0.027027027;0.025641026;0.025641026;0.025641026;0.025;0.024390244;0;0;0;0.5;0.333333333;0.25;0.2
0.125;0.090909091;0.071428571;0.066666667;0.055555556;0.05;0.045454545;0.04;0.035714286;0.033333333;0.029411765;0.028571429;0.027777778;0.025641026;0.023809524;0.023255814;0.022727273;0.022727273;0;0;0;0;0;0.25;0.2
0;0;0.083333333;0.0625;0.0625;0.052631579;0.045454545;0.041666667;0.038461538;0.038461538;0.033333333;0.03125;0.03030303;0.027777778;0.027777778;0.024390244;0.024390244;0.023809524;0;0;0;0;0;0;0
0.076923077;0.0625;0.05;0.047619048;0.043478261;0.04;0.037037037;0.03125;0.03030303;0.029411765;0.027777778;0.027777778;0.027027027;0.026315789;0.026315789;0.025641026;0.025641026;0.025641026;0;0;0;0;0;0.25;0.2
0;0;0.1;0.076923077;0.066666667;0.066666667;0.05;0.043478261;0.038461538;0.035714286;0.034482759;0.033333333;0.029411765;0.028571429;0.027777778;0.025;0.024390244;0.023809524;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0.041666667;0.041666667;0.041666667;0.037037037;0.034482759;0;0;0;0;0;0;0
0;0;0;0;0;0.043478261;0.043478261;0.04;0.037037037;0.034482759;0.034482759;0.033333333;0.033333333;0.03125;0.03125;0.029411765;0.028571429;0.027777778;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.041666667;0.041666667;0.04;0.038461538;0.035714286;0.033333333;0.033333333;0.033333333;0;0;0;0;0;0;0
0.166666667;0.111111111;0.083333333;0.066666667;0.047619048;0.043478261;0.038461538;0.03125;0.029411765;0.028571429;0.028571429;0.027777778;0.027777778;0.027027027;0.026315789;0.025641026;0.025;0.025;0;0;0;0;0;0.25;0.2
0;0.142857143;0.111111111;0.1;0.083333333;0.076923077;0.058823529;0.055555556;0.043478261;0.041666667;0.035714286;0.03125;0.029411765;0.027027027;0.025641026;0.023255814;0.023255814;0.022727273;0;0;0;0;0;0;0
0.125;0.090909091;0.083333333;0.058823529;0.052631579;0.047619048;0.045454545;0.04;0.037037037;0.033333333;0.03125;0.03030303;0.027777778;0.026315789;0.025641026;0.025;0.023809524;0.023809524;0.2;0.2;0;0;0;0;0
0.090909091;0.071428571;0.066666667;0.052631579;0.052631579;0.045454545;0.038461538;0.035714286;0.033333333;0.032258065;0.03030303;0.028571429;0.027027027;0.024390244;0.024390244;0.023809524;0.022727273;0.022727273;0;0;0;0.5;0.333333333;0.25;0.2
0;0;0;0;0;0;0;0;0;0;0;0;0;0.045454545;0.045454545;0.043478261;0.038461538;0.037037037;0.333333333;0.333333333;0;0;0;0;0
0;0;0;0.071428571;0.066666667;0.0625;0.05;0.043478261;0.04;0.037037037;0.037037037;0.034482759;0.032258065;0.027777778;0.027027027;0.026315789;0.025;0.024390244;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.047619048;0.041666667;0.041666667;0.038461538;0.035714286;0.034482759;0.033333333;0.033333333;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.043478261;0.041666667;0.04;0.038461538;0.035714286;0.034482759;0.033333333;0.033333333;0.03125;0.03125;0.029411765;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.045454545;0.04;0.038461538;0.035714286;0.034482759;0.033333333;0.03125;0.029411765;0;0;0;0;0;0;0
0;0;0;0;0;0;0.047619048;0.045454545;0.041666667;0.041666667;0.037037037;0.034482759;0.033333333;0.033333333;0.033333333;0.03125;0.029411765;0.028571429;0;0;0;0;0;0;0
0;0;0;0;0.043478261;0.043478261;0.037037037;0.035714286;0.034482759;0.034482759;0.033333333;0.03125;0.03030303;0.029411765;0.028571429;0.028571429;0.027777778;0.027777778;0;0;0;0;0;0;0
0;0;0;0;0;0;0.076923077;0.0625;0.052631579;0.05;0.041666667;0.038461538;0.034482759;0.034482759;0.03125;0.028571429;0.027777778;0.026315789;0;0;0;0;0;0;0
0.083333333;0.058823529;0.058823529;0.05;0.037037037;0.037037037;0.034482759;0.033333333;0.03125;0.03030303;0.029411765;0.027777778;0.027777778;0.027777778;0.027777778;0.027027027;0.026315789;0.025641026;0;0;0;0;0;0;0
0;0;0.083333333;0.083333333;0.0625;0.05;0.05;0.041666667;0.04;0.034482759;0.033333333;0.03125;0.029411765;0.028571429;0.027027027;0.025641026;0.025;0.023809524;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0.047619048;0.043478261;0.041666667;0.038461538;0.035714286;0.034482759;0.033333333;0.033333333;0.032258065;0.03125;0.029411765;0.027777778;0.027777778;0.027777778;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.043478261;0.041666667;0.04;0.038461538;0.035714286;0.033333333;0.033333333;0.033333333;0;0;0;0;0;0;0
0;0;0;0.058823529;0.047619048;0.041666667;0.038461538;0.035714286;0.035714286;0.033333333;0.03125;0.03030303;0.029411765;0.029411765;0.028571429;0.027777778;0.027777778;0.026315789;0;0;0;0;0;0;0
0;0;0;0;0;0.066666667;0.0625;0.052631579;0.045454545;0.04;0.037037037;0.037037037;0.032258065;0.03125;0.027777778;0.027027027;0.025641026;0.024390244;0;0;0;0;0;0;0
0.076923077;0.0625;0.055555556;0.05;0.045454545;0.041666667;0.037037037;0.034482759;0.03125;0.029411765;0.028571429;0.027777778;0.026315789;0.026315789;0.025641026;0.025641026;0.025641026;0.023809524;0;0;0;0;0;0;0
0;0;0;0;0;0;0.066666667;0.058823529;0.043478261;0.041666667;0.041666667;0.034482759;0.03125;0.029411765;0.029411765;0.027777778;0.027027027;0.026315789;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.043478261;0.041666667;0.041666667;0.037037037;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.047619048;0.041666667;0.041666667;0.04;0.037037037;0.034482759;0.033333333;0.033333333;0.033333333;0;0;0;0;0;0;0
0;0;0;0.045454545;0.043478261;0.041666667;0.037037037;0.035714286;0.034482759;0.034482759;0.033333333;0.032258065;0.03125;0.029411765;0.028571429;0.027777778;0.027777778;0.027777778;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.05;0.045454545;0.041666667;0.038461538;0.034482759;0.034482759;0.033333333;0.032258065;0.03125;0.03030303;0.028571429;0.028571429;0.027777778;0.027777778;0.027777778;0.026315789;0;0;0;0;0;0;0
0.166666667;0.125;0.111111111;0.076923077;0.0625;0.052631579;0.043478261;0.038461538;0.034482759;0.033333333;0.028571429;0.026315789;0.025641026;0.025;0.024390244;0.024390244;0.023255814;0.023255814;0;0;0;0;0;0.25;0.2
0;0;0;0;0;0;0;0;0;0;0;0.045454545;0.043478261;0.04;0.037037037;0.034482759;0.034482759;0.033333333;0;0;0;0;0;0;0
0.111111111;0.071428571;0.066666667;0.066666667;0.052631579;0.041666667;0.041666667;0.04;0.035714286;0.034482759;0.03030303;0.028571429;0.027027027;0.026315789;0.026315789;0.025641026;0.025;0.024390244;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.083333333;0.076923077;0.066666667;0.05;0.045454545;0.038461538;0.037037037;0.034482759;0.033333333;0.032258065;0.029411765;0.028571429;0.027027027;0.024390244;0.024390244;0.023255814;0.022727273;1;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0.038461538;0.035714286;0.034482759;0.034482759;0.032258065;0.032258065;0.029411765;0;0;0;0;0;0;0
0;0;0;0;0;0;0.052631579;0.05;0.05;0.043478261;0.041666667;0.04;0.038461538;0.035714286;0.033333333;0.033333333;0.033333333;0.03125;0;0;0;0;0;0;0
0;0;0;0;0.05;0.045454545;0.043478261;0.043478261;0.04;0.038461538;0.034482759;0.034482759;0.033333333;0.033333333;0.032258065;0.03125;0.03030303;0.028571429;0;0;0;0;0;0;0
0;0;0;0;0;0.066666667;0.052631579;0.052631579;0.047619048;0.04;0.034482759;0.032258065;0.032258065;0.029411765;0.029411765;0.028571429;0.027777778;0.027027027;0;0;0;0;0;0;0
0;0.090909091;0.066666667;0.055555556;0.05;0.05;0.041666667;0.037037037;0.033333333;0.032258065;0.03125;0.029411765;0.028571429;0.028571429;0.027027027;0.026315789;0.026315789;0.026315789;0.333333333;0.333333333;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.1;0.083333333;0.058823529;0.05;0.045454545;0.041666667;0.034482759;0.033333333;0.033333333;0.03030303;0.027027027;0.026315789;0.026315789;0.025;0.024390244;0.023809524;0.023809524;0.023255814;0;0;1;0.5;0.333333333;0.25;0.2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.090909091;0.071428571;0.066666667;0.055555556;0.05;0.045454545;0.04;0.035714286;0.033333333;0.029411765;0.028571429;0.027777778;0.025641026;0.023809524;0.023255814;0.022727273;0.022727273;0;0;0;0;0;0;0
0;0;0;0;0;0.052631579;0.045454545;0.041666667;0.038461538;0.038461538;0.033333333;0.03125;0.03030303;0.027777778;0.027777778;0.024390244;0.024390244;0.023809524;0.2;0.2;0;0;0;0;0
0.076923077;0.0625;0.05;0.047619048;0.043478261;0.04;0.037037037;0.03125;0.03030303;0.029411765;0.027777778;0.027777778;0.027027027;0.026315789;0.026315789;0.025641026;0.025641026;0.025641026;0;0;0;0.5;0.333333333;0.25;0.2
0;0;0;0.076923077;0.066666667;0.066666667;0.05;0.043478261;0.038461538;0.035714286;0.034482759;0.033333333;0.029411765;0.028571429;0.027777778;0.025;0.024390244;0.023809524;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.055555556;0.052631579;0.05;0.041666667;0.041666667;0.041666667;0.037037037;0.034482759;0;0;0;0;0;0;0
0;0;0.058823529;0.05;0.045454545;0.043478261;0.043478261;0.04;0.037037037;0.034482759;0.034482759;0.033333333;0.033333333;0.03125;0.03125;0.029411765;0.028571429;0.027777778;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.052631579;0.05;0.05;0.041666667;0.041666667;0.04;0.038461538;0.035714286;0.033333333;0.033333333;0.033333333;0;0;0;0;0;0;0
0.166666667;0.111111111;0.083333333;0.066666667;0.047619048;0.043478261;0.038461538;0.03125;0.029411765;0.028571429;0.028571429;0.027777778;0.027777778;0.027027027;0.026315789;0.025641026;0.025;0.025;0;0;1;0.5;0.333333333;0.25;0.2
0;0;0;0.1;0.083333333;0.076923077;0.058823529;0.055555556;0.043478261;0.041666667;0.035714286;0.03125;0.029411765;0.027027027;0.025641026;0.023255814;0.023255814;0.022727273;0;0;0;0;0;0;0
0;0.090909091;0.083333333;0.058823529;0.052631579;0.047619048;0.045454545;0.04;0.037037037;0.033333333;0.03125;0.03030303;0.027777778;0.026315789;0.025641026;0.025;0.023809524;0.023809524;0;0;0;0;0;0;0
0.090909091;0.071428571;0.066666667;0.052631579;0.052631579;0.045454545;0.038461538;0.035714286;0.033333333;0.032258065;0.03030303;0.028571429;0.027027027;0.024390244;0.024390244;0.023809524;0.022727273;0.022727273;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.038461538;0.037037037;0;0;0;0;0;0;0
0;0;0;0;0;0;0.05;0.043478261;0.04;0.037037037;0.037037037;0.034482759;0.032258065;0.027777778;0.027027027;0.026315789;0.025;0.024390244;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.055555556;0.05;0.047619048;0.041666667;0.041666667;0.038461538;0.035714286;0.034482759;0.033333333;0.033333333;0;0;0;0;0;0;0
0;0;0;0;0.052631579;0.05;0.047619048;0.043478261;0.041666667;0.04;0.038461538;0.035714286;0.034482759;0.033333333;0.033333333;0.03125;0.03125;0.029411765;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0.035714286;0.034482759;0.033333333;0.03125;0.029411765;0;0;0;0;0;0;0
0;0;0;0;0.055555556;0.055555556;0.047619048;0.045454545;0.041666667;0.041666667;0.037037037;0.034482759;0.033333333;0.033333333;0.033333333;0.03125;0.029411765;0.028571429;0;0;0;0;0;0;0
0;0.066666667;0.0625;0.05;0.043478261;0.043478261;0.037037037;0.035714286;0.034482759;0.034482759;0.033333333;0.03125;0.03030303;0.029411765;0.028571429;0.028571429;0.027777778;0.027777778;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.052631579;0.05;0.041666667;0.038461538;0.034482759;0.034482759;0.03125;0.028571429;0.027777778;0.026315789;0;0;0;0;0;0;0
0.083333333;0.058823529;0.058823529;0.05;0.037037037;0.037037037;0.034482759;0.033333333;0.03125;0.03030303;0.029411765;0.027777778;0.027777778;0.027777778;0.027777778;0.027027027;0.026315789;0.025641026;0;0;0;0.5;0.333333333;0.25;0.2
0;0;0;0;0;0.05;0.05;0.041666667;0.04;0.034482759;0.033333333;0.03125;0.029411765;0.028571429;0.027027027;0.025641026;0.025;0.023809524;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.058823529;0.058823529;0.05;0.047619048;0.043478261;0.041666667;0.038461538;0.035714286;0.034482759;0.033333333;0.033333333;0.032258065;0.03125;0.029411765;0.027777778;0.027777778;0.027777778;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.052631579;0.05;0.047619048;0.043478261;0.041666667;0.04;0.038461538;0.035714286;0.033333333;0.033333333;0.033333333;0;0;0;0;0;0;0
0;0.076923077;0.066666667;0.058823529;0.047619048;0.041666667;0.038461538;0.035714286;0.035714286;0.033333333;0.03125;0.03030303;0.029411765;0.029411765;0.028571429;0.027777778;0.027777778;0.026315789;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.052631579;0.045454545;0.04;0.037037037;0.037037037;0.032258065;0.03125;0.027777778;0.027027027;0.025641026;0.024390244;0;0;0;0;0;0;0
0.076923077;0.0625;0.055555556;0.05;0.045454545;0.041666667;0.037037037;0.034482759;0.03125;0.029411765;0.028571429;0.027777778;0.026315789;0.026315789;0.025641026;0.025641026;0.025641026;0.023809524;0;0;0;0;0.333333333;0.25;0.2
0;0;0;0;0;0;0;0;0.043478261;0.041666667;0.041666667;0.034482759;0.03125;0.029411765;0.029411765;0.027777778;0.027027027;0.026315789;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.037037037;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0.055555556;0.05;0.047619048;0.041666667;0.041666667;0.04;0.037037037;0.034482759;0.033333333;0.033333333;0.033333333;0;0;0;0;0;0;0
0;0.0625;0.047619048;0.045454545;0.043478261;0.041666667;0.037037037;0.035714286;0.034482759;0.034482759;0.033333333;0.032258065;0.03125;0.029411765;0.028571429;0.027777778;0.027777778;0.027777778;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.071428571;0.0625;0.05;0.045454545;0.041666667;0.038461538;0.034482759;0.034482759;0.033333333;0.032258065;0.03125;0.03030303;0.028571429;0.028571429;0.027777778;0.027777778;0.027777778;0.026315789;0;0;0;0;0;0;0
0.166666667;0.125;0.111111111;0.076923077;0.0625;0.052631579;0.043478261;0.038461538;0.034482759;0.033333333;0.028571429;0.026315789;0.025641026;0.025;0.024390244;0.024390244;0.023255814;0.023255814;0;0;0;0;0;0;0.2
0;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0.037037037;0.034482759;0.034482759;0.033333333;0;0;0;0;0;0;0
0;0;0;0;0.052631579;0.041666667;0.041666667;0.04;0.035714286;0.034482759;0.03030303;0.028571429;0.027027027;0.026315789;0.026315789;0.025641026;0.025;0.024390244;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0.05;0.047619048;0.045454545;0.043478261;0.04;0.038461538;0;0;0;0;0;0;0
0.111111111;0.083333333;0.076923077;0.066666667;0.05;0.045454545;0.038461538;0.037037037;0.034482759;0.033333333;0.032258065;0.029411765;0.028571429;0.027027027;0.024390244;0.024390244;0.023255814;0.022727273;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0.071428571;0.058823529;0.055555556;0.05;0.041666667;0.041666667;0.038461538;0.035714286;0.034482759;0.034482759;0.032258065;0.032258065;0.029411765;0.166666667;0.166666667;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0.035714286;0.033333333;0.033333333;0.033333333;0.03125;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.034482759;0.034482759;0.033333333;0.033333333;0.032258065;0.03125;0.03030303;0.028571429;0.25;0.25;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0.034482759;0.032258065;0.032258065;0.029411765;0.029411765;0.028571429;0.027777778;0.027027027;0;0;0;0;0;0;0
0;0;0;0;0;0;0.041666667;0.037037037;0.033333333;0.032258065;0.03125;0.029411765;0.028571429;0.028571429;0.027027027;0.026315789;0.026315789;0.026315789;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0.055555556;0.055555556;0.052631579;0.047619048;0.045454545;0.25;0.25;0;0;0;0;0
0.1;0.083333333;0.058823529;0.05;0.045454545;0.041666667;0.034482759;0.033333333;0.033333333;0.03030303;0.027027027;0.026315789;0.026315789;0.025;0.024390244;0.023809524;0.023809524;0.023255814;0;0;0;0;0;0;0.2
0;0.058823529;0.055555556;0.05;0.043478261;0.038461538;0.035714286;0.03125;0.028571429;0.028571429;0.027777778;0.027027027;0.027027027;0.025641026;0.025641026;0.025641026;0.025;0.024390244;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.125;0.125;0.083333333;0.0625;0.0625;0.052631579;0.045454545;0.041666667;0.038461538;0.038461538;0.033333333;0.03125;0.03030303;0.027777778;0.027777778;0.024390244;0.024390244;0.023809524;0;0;0;0;0;0.25;0.2
0;0;0.05;0.047619048;0.043478261;0.04;0.037037037;0.03125;0.03030303;0.029411765;0.027777778;0.027777778;0.027027027;0.026315789;0.026315789;0.025641026;0.025641026;0.025641026;0.166666667;0.166666667;0;0;0;0;0
0;0;0;0;0.066666667;0.066666667;0.05;0.043478261;0.038461538;0.035714286;0.034482759;0.033333333;0.029411765;0.028571429;0.027777778;0.025;0.024390244;0.023809524;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.037037037;0.034482759;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.034482759;0.034482759;0.033333333;0.033333333;0.03125;0.03125;0.029411765;0.028571429;0.027777778;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.035714286;0.033333333;0.033333333;0.033333333;0;0;0;0;0;0;0
0;0.111111111;0.083333333;0.066666667;0.047619048;0.043478261;0.038461538;0.03125;0.029411765;0.028571429;0.028571429;0.027777778;0.027777778;0.027027027;0.026315789;0.025641026;0.025;0.025;0;0;0;0;0;0;0
0.2;0.142857143;0.111111111;0.1;0.083333333;0.076923077;0.058823529;0.055555556;0.043478261;0.041666667;0.035714286;0.03125;0.029411765;0.027027027;0.025641026;0.023255814;0.023255814;0.022727273;0;0;1;0.5;0.333333333;0.25;0.2
